Altium Designer Pick and Place Locations
D:\project\BLE_Indoor_Positioning\基站设计软硬件资料\Nordic Semiconductor\PCA20054-Direction Finding Antenna Board 1_0_0\PCA20054-Direction Finding Antenna Board 1_0_0\outputs_NO_SVN\Pick Place for 400503.csv

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       12:37
Revision:   f938a3be764e2d2a5ed0a9ccfd6e21bad559861e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"ANT_7","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","2951.181","699.213","90","1.0mm circular SMD testpad"
"ANT_6","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","4919.685","699.186","90","1.0mm circular SMD testpad"
"ANT_5","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","6888.189","699.227","90","1.0mm circular SMD testpad"
"ANT_4","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","6888.189","2667.677","180","1.0mm circular SMD testpad"
"ANT_3","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","6888.189","4636.221","90","1.0mm circular SMD testpad"
"ANT_2","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","6888.189","6604.724","90","1.0mm circular SMD testpad"
"ANT_1","?1.0mm,SMD","TopLayer","TP_SMD_?.0mm","4919.685","6604.724","0","1.0mm circular SMD testpad"
"R404","51k1","BottomLayer","RESC1005X04L","4851.575","3418.807","0","Resistor, ±0.1%, 0.063W"
"R403","86k6","BottomLayer","RESC1005X04L","4796.457","3454.240","180","Resistor, ±1%, 0.063W"
"R402","220R","TopLayer","RESC1005X04L","4043.725","2646.567","0","Resistor, ±1%, 0.063W"
"LED401","L0603G","TopLayer","LED_0603_G","3941.385","2647.475","0","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"C404","2.2μF","BottomLayer","CAPC1608X06L","4807.087","3375.499","180","Capacitor, X7R, ±10%"
"C403","4.7μF","BottomLayer","CAPC1608X06L","4721.654","3273.137","90","Capacitor, X5R, ±10%"
"C402","1.0μF","BottomLayer","CAPC1608X06L","4916.535","3265.263","270","Capacitor, X7R, ±10%"
"C401","4.7μF","BottomLayer","CAPC1608X06L","4749.213","3206.208","0","Capacitor, X5R, ±10%"
"R328","0R","TopLayer","RESC1005X04L","2204.028","5440.495","225","Resistor, ±5%, 0.063W"
"R329","N.C.","TopLayer","RESC1005X04L_NC","2226.299","5490.605","315","Not mounted"
"R331","0R","TopLayer","RESC1005X04L","2204.308","5613.724","135","Resistor, ±5%, 0.063W"
"R332","N.C.","TopLayer","RESC1005X04L_NC","2226.579","5563.614","45","Not mounted"
"R334","0R","TopLayer","RESC1005X04L","2430.744","5660.968","45","Resistor, ±5%, 0.063W"
"R335","N.C.","TopLayer","RESC1005X04L_NC","2408.767","5611.152","135","Not mounted"
"R340","N.C.","TopLayer","RESC1005X04L_NC","2316.546","5654.077","45","Not mounted"
"C313","1.0μF","BottomLayer","CAPC1608X06L","2198.032","5336.805","45","Capacitor, X7R, ±10%"
"C314","100pF","BottomLayer","CAPC1005X04L","2245.276","5383.373","135","Capacitor, NP0, ±5%"
"C315","100pF","BottomLayer","CAPC1005X04L","2426.378","5375.499","45","Capacitor, NP0, ±5%"
"U305","PE42442","TopLayer","QFN50P400X400X80_HS-25N","2342.754","5528.113","225","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V310","LXES15AAA1-133","TopLayer","RESC1005X04L","1995.933","5203.169","315","TVS DIODE 15VWM 0402"
"V311","LXES15AAA1-133","TopLayer","RESC1005X04L","1996.213","5851.050","45","TVS DIODE 15VWM 0402"
"V312","LXES15AAA1-133","TopLayer","RESC1005X04L","2666.678","5870.455","315","TVS DIODE 15VWM 0402"
"C310","1.0μF","BottomLayer","CAPC1608X06L","2532.677","2198.334","135","Capacitor, X7R, ±10%"
"C311","100pF","BottomLayer","CAPC1005X04L","2481.496","2241.641","225","Capacitor, NP0, ±5%"
"C312","100pF","BottomLayer","CAPC1005X04L","2497.244","2426.137","135","Capacitor, NP0, ±5%"
"U304","PE42442","TopLayer","QFN50P400X400X80_HS-25N","2342.754","2342.754","315","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V307","LXES15AAA1-133","TopLayer","RESC1005X04L","2667.697","1995.933","45","TVS DIODE 15VWM 0402"
"V308","LXES15AAA1-133","TopLayer","RESC1005X04L","2019.816","1996.213","135","TVS DIODE 15VWM 0402"
"V309","LXES15AAA1-133","TopLayer","RESC1005X04L","2000.411","2666.678","45","TVS DIODE 15VWM 0402"
"R319","0R","TopLayer","RESC1005X04L","2430.371","2204.028","315","Resistor, ±5%, 0.063W"
"R320","N.C.","TopLayer","RESC1005X04L_NC","2380.261","2226.299","45","Not mounted"
"R322","0R","TopLayer","RESC1005X04L","2257.142","2204.308","225","Resistor, ±5%, 0.063W"
"R323","N.C.","TopLayer","RESC1005X04L_NC","2307.252","2226.579","135","Not mounted"
"R325","0R","TopLayer","RESC1005X04L","2209.898","2430.744","135","Resistor, ±5%, 0.063W"
"R326","N.C.","TopLayer","RESC1005X04L_NC","2259.714","2408.767","225","Not mounted"
"R339","N.C.","TopLayer","RESC1005X04L_NC","2216.789","2316.546","135","Not mounted"
"C307","1.0μF","BottomLayer","CAPC1608X06L","5678.346","2521.169","225","Capacitor, X7R, ±10%"
"C309","100pF","BottomLayer","CAPC1005X04L","5446.063","2501.483","225","Capacitor, NP0, ±5%"
"U303","PE42442","TopLayer","QFN50P400X400X80_HS-25N","5528.112","2342.753","45","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V304","LXES15AAA1-133","TopLayer","RESC1005X04L","5874.933","2667.696","135","TVS DIODE 15VWM 0402"
"V305","LXES15AAA1-133","TopLayer","RESC1005X04L","5874.653","2019.815","225","TVS DIODE 15VWM 0402"
"V306","LXES15AAA1-133","TopLayer","RESC1005X04L","5204.187","2000.410","135","TVS DIODE 15VWM 0402"
"R310","0R","TopLayer","RESC1005X04L","5666.837","2430.370","45","Resistor, ±5%, 0.063W"
"R311","N.C.","TopLayer","RESC1005X04L_NC","5644.566","2380.260","135","Not mounted"
"R313","0R","TopLayer","RESC1005X04L","5666.557","2257.141","315","Resistor, ±5%, 0.063W"
"R314","N.C.","TopLayer","RESC1005X04L_NC","5644.286","2307.251","225","Not mounted"
"R316","0R","TopLayer","RESC1005X04L","5440.122","2209.897","225","Resistor, ±5%, 0.063W"
"R317","N.C.","TopLayer","RESC1005X04L_NC","5462.098","2259.713","315","Not mounted"
"R338","N.C.","TopLayer","RESC1005X04L_NC","5554.319","2216.788","225","Not mounted"
"R337","N.C.","TopLayer","RESC1005X04L_NC","5654.077","5554.320","315","Not mounted"
"R308","N.C.","TopLayer","RESC1005X04L_NC","5611.152","5462.099","45","Not mounted"
"R307","0R","TopLayer","RESC1005X04L","5660.968","5440.122","315","Resistor, ±5%, 0.063W"
"R305","N.C.","TopLayer","RESC1005X04L_NC","5563.614","5644.287","315","Not mounted"
"R304","0R","TopLayer","RESC1005X04L","5613.724","5666.558","45","Resistor, ±5%, 0.063W"
"R302","N.C.","TopLayer","RESC1005X04L_NC","5490.605","5644.567","225","Not mounted"
"R301","0R","TopLayer","RESC1005X04L","5440.495","5666.838","135","Resistor, ±5%, 0.063W"
"V303","LXES15AAA1-133","TopLayer","RESC1005X04L","5870.455","5204.188","225","TVS DIODE 15VWM 0402"
"V302","LXES15AAA1-133","TopLayer","RESC1005X04L","5851.050","5874.654","315","TVS DIODE 15VWM 0402"
"V301","LXES15AAA1-133","TopLayer","RESC1005X04L","5202.473","5874.237","225","TVS DIODE 15VWM 0402"
"U302","PE42442","TopLayer","QFN50P400X400X80_HS-25N","5528.113","5528.113","135","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"U301","PE42442","TopLayer","QFN50P400X400X80_HS-25N","3935.433","3936.123","0","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"C306","100pF","BottomLayer","CAPC1005X04L","5371.260","5442.428","315","Capacitor, NP0, ±5%"
"C305","100pF","BottomLayer","CAPC1005X04L","5387.008","5627.468","45","Capacitor, NP0, ±5%"
"C304","1.0μF","BottomLayer","CAPC1608X06L","5324.016","5662.901","315","Capacitor, X7R, ±10%"
"C303","100pF","BottomLayer","CAPC1005X04L","4001.181","4111.720","180","Capacitor, NP0, ±5%"
"C302","100pF","BottomLayer","CAPC1005X04L","4083.858","4068.413","180","Capacitor, NP0, ±5%"
"C301","1.0μF","BottomLayer","CAPC1608X06L","4091.732","4111.720","180","Capacitor, X7R, ±10%"
