Altium Designer Pick and Place Locations
C:\Applications\hardware\pca20054\trunk\production_files\400503_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       24-02-20
Time:       10:42
Revision:   17888
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"V501","LXES15AAA1-133","BottomLayer","RESC1005X04L","98.6700","72.5777","180","TVS DIODE 15VWM 0402"
"U401","LM27761","BottomLayer","SON50P200X80_HS-9L","122.4600","83.5077","360","Low-Noise, Regulated, Switched-Capacitor Voltage Inverter"
"R404","51k1","BottomLayer","RESC1005X04L","123.2700","86.8777","360","Resistor, ±0.1%, 0.063W"
"R403","86k6","BottomLayer","RESC1005X04L","121.8700","87.7777","180","Resistor, ±1%, 0.063W"
"R402","220R","TopLayer","RESC1005X04L","102.7506","67.2628","360","Resistor, ±1%, 0.063W"
"LED401","L0603G","TopLayer","LED_0603_G","100.1512","67.2859","360","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"C404","2.2µF","BottomLayer","CAPC1608X06L","122.1400","85.7777","180","Capacitor, X7R, ±10%"
"C403","4.7µF","BottomLayer","CAPC1608X06L","119.9700","83.1777","90","Capacitor, X5R, ±10%"
"C402","1.0µF","BottomLayer","CAPC1608X06L","124.9200","82.9777","270","Capacitor, X7R, ±10%"
"C401","4.7µF","BottomLayer","CAPC1608X06L","120.6700","81.4777","360","Capacitor, X5R, ±10%"
"R328","0R","TopLayer","RESC1005X04L","56.0223","138.2286","225","Resistor, ±5%, 0.063W"
"R329","N.C.","TopLayer","RESC1005X04L_NC","56.5880","139.5014","315","Not mounted"
"R331","0R","TopLayer","RESC1005X04L","56.0294","142.6286","135","Resistor, ±5%, 0.063W"
"R332","N.C.","TopLayer","RESC1005X04L_NC","56.5951","141.3558","45","Not mounted"
"R334","0R","TopLayer","RESC1005X04L","61.7809","143.8286","45","Resistor, ±5%, 0.063W"
"R335","N.C.","TopLayer","RESC1005X04L_NC","61.2227","142.5633","135","Not mounted"
"R340","N.C.","TopLayer","RESC1005X04L_NC","58.8803","143.6536","45","Not mounted"
"C313","1.0µF","BottomLayer","CAPC1608X06L","55.8700","135.5948","45","Capacitor, X7R, ±10%"
"C314","100pF","BottomLayer","CAPC1005X04L","57.0700","136.7777","135","Capacitor, NP0, ±5%"
"C315","100pF","BottomLayer","CAPC1005X04L","61.6700","136.5777","45","Capacitor, NP0, ±5%"
"U305","PE42442","TopLayer","QFN50P400X400X80_HS-25N","59.5459","140.4541","225","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V310","LXES15AAA1-133","TopLayer","RESC1005X04L","50.7367","132.2005","315","TVS DIODE 15VWM 0402"
"V311","LXES15AAA1-133","TopLayer","RESC1005X04L","50.7438","148.6567","45","TVS DIODE 15VWM 0402"
"V312","LXES15AAA1-133","TopLayer","RESC1005X04L","67.7736","149.1496","315","TVS DIODE 15VWM 0402"
"C310","1.0µF","BottomLayer","CAPC1608X06L","64.3700","55.8777","135","Capacitor, X7R, ±10%"
"C311","100pF","BottomLayer","CAPC1005X04L","63.0700","56.9777","225","Capacitor, NP0, ±5%"
"C312","100pF","BottomLayer","CAPC1005X04L","63.4700","61.6639","135","Capacitor, NP0, ±5%"
"U304","PE42442","TopLayer","QFN50P400X400X80_HS-25N","59.5459","59.5459","315","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V307","LXES15AAA1-133","TopLayer","RESC1005X04L","67.7995","50.7367","45","TVS DIODE 15VWM 0402"
"V308","LXES15AAA1-133","TopLayer","RESC1005X04L","51.3433","50.7438","135","TVS DIODE 15VWM 0402"
"V309","LXES15AAA1-133","TopLayer","RESC1005X04L","50.8504","67.7736","45","TVS DIODE 15VWM 0402"
"R319","0R","TopLayer","RESC1005X04L","61.7714","56.0223","315","Resistor, ±5%, 0.063W"
"R320","N.C.","TopLayer","RESC1005X04L_NC","60.4986","56.5880","45","Not mounted"
"R322","0R","TopLayer","RESC1005X04L","57.3714","56.0294","225","Resistor, ±5%, 0.063W"
"R323","N.C.","TopLayer","RESC1005X04L_NC","58.6442","56.5951","135","Not mounted"
"R325","0R","TopLayer","RESC1005X04L","56.1714","61.7809","135","Resistor, ±5%, 0.063W"
"R326","N.C.","TopLayer","RESC1005X04L_NC","57.4367","61.2227","225","Not mounted"
"R339","N.C.","TopLayer","RESC1005X04L_NC","56.3465","58.8803","135","Not mounted"
"C307","1.0µF","BottomLayer","CAPC1608X06L","144.2700","64.0777","225","Capacitor, X7R, ±10%"
"C309","100pF","BottomLayer","CAPC1005X04L","138.3700","63.5777","225","Capacitor, NP0, ±5%"
"U303","PE42442","TopLayer","QFN50P400X400X80_HS-25N","140.4540","59.5459","45","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"V304","LXES15AAA1-133","TopLayer","RESC1005X04L","149.2633","67.7995","135","TVS DIODE 15VWM 0402"
"V305","LXES15AAA1-133","TopLayer","RESC1005X04L","149.2562","51.3433","225","TVS DIODE 15VWM 0402"
"V306","LXES15AAA1-133","TopLayer","RESC1005X04L","132.2264","50.8504","135","TVS DIODE 15VWM 0402"
"R310","0R","TopLayer","RESC1005X04L","143.9777","61.7714","45","Resistor, ±5%, 0.063W"
"R311","N.C.","TopLayer","RESC1005X04L_NC","143.4120","60.4986","135","Not mounted"
"R313","0R","TopLayer","RESC1005X04L","143.9706","57.3714","315","Resistor, ±5%, 0.063W"
"R314","N.C.","TopLayer","RESC1005X04L_NC","143.4049","58.6442","225","Not mounted"
"R316","0R","TopLayer","RESC1005X04L","138.2191","56.1714","225","Resistor, ±5%, 0.063W"
"R317","N.C.","TopLayer","RESC1005X04L_NC","138.7773","57.4367","315","Not mounted"
"R338","N.C.","TopLayer","RESC1005X04L_NC","141.1197","56.3464","225","Not mounted"
"R337","N.C.","TopLayer","RESC1005X04L_NC","143.6536","141.1197","315","Not mounted"
"R308","N.C.","TopLayer","RESC1005X04L_NC","142.5633","138.7773","45","Not mounted"
"R307","0R","TopLayer","RESC1005X04L","143.8286","138.2191","315","Resistor, ±5%, 0.063W"
"R305","N.C.","TopLayer","RESC1005X04L_NC","141.3558","143.4049","315","Not mounted"
"R304","0R","TopLayer","RESC1005X04L","142.6286","143.9706","45","Resistor, ±5%, 0.063W"
"R302","N.C.","TopLayer","RESC1005X04L_NC","139.5014","143.4120","225","Not mounted"
"R301","0R","TopLayer","RESC1005X04L","138.2286","143.9777","135","Resistor, ±5%, 0.063W"
"V303","LXES15AAA1-133","TopLayer","RESC1005X04L","149.1496","132.2264","225","TVS DIODE 15VWM 0402"
"V302","LXES15AAA1-133","TopLayer","RESC1005X04L","148.6567","149.2562","315","TVS DIODE 15VWM 0402"
"V301","LXES15AAA1-133","TopLayer","RESC1005X04L","132.1828","149.2456","225","TVS DIODE 15VWM 0402"
"U302","PE42442","TopLayer","QFN50P400X400X80_HS-25N","140.4541","140.4541","135","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"U301","PE42442","TopLayer","QFN50P400X400X80_HS-25N","100.0000","100.0175","360","UltraCMOS SP4T RF Switch 30 MHz-6 GHz"
"SW401","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","100.0242","62.3491","360","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"P6","Socket 1x9","BottomLayer","SOCKET_1x9_SMD","70.7900","124.1651","360","Socket 1x9, 2.54mm (100mil), SMD"
"P5","Pin Hdr 2x3","BottomLayer","HDR_2x3-SMD","84.6333","101.3054","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P4","Socket 1x10","BottomLayer","SOCKET_1x10_SMD","119.3040","124.1651","360","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","BottomLayer","SOCKET_1x8_SMD","94.9200","124.1651","360","Socket 1x8, 2.54mm (100mil), SMD"
"P2","Socket 1x6","BottomLayer","SOCKET_1x6_SMD","92.3800","75.9051","180","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","BottomLayer","SOCKET_1x8_SMD","112.7000","75.9051","180","Socket 1x8, 2.54mm (100mil), SMD"
"C306","100pF","BottomLayer","CAPC1005X04L","136.4700","138.2777","315","Capacitor, NP0, ±5%"
"C305","100pF","BottomLayer","CAPC1005X04L","136.8700","142.9777","45","Capacitor, NP0, ±5%"
"C304","1.0µF","BottomLayer","CAPC1608X06L","135.2700","143.8777","315","Capacitor, X7R, ±10%"
"C303","100pF","BottomLayer","CAPC1005X04L","101.6700","104.4777","180","Capacitor, NP0, ±5%"
"C302","100pF","BottomLayer","CAPC1005X04L","103.7700","103.3777","180","Capacitor, NP0, ±5%"
"C301","1.0µF","BottomLayer","CAPC1608X06L","103.9700","104.4777","180","Capacitor, X7R, ±10%"
